1;m1;;a;owi;a;em;*e;*e;*e;;om;;ami;ach
2;m1;;a;owi;a;em;*e;*e;*e;ów;om;ów;ami;ach
3;m1;;a;owi;a;em;*e;*e;*i;ów;om;ów;ami;ach
4;m1;;a;owi;a;em;*e;*e;owie;ów;om;ów;ami;ach
5;m1;;a;owi;a;em;*e;*e;*y;ów;om;ów;ami;ach
6;m1;;a;owi;a;em;u;*e;y;ów;om;ów;ami;ach
7;m1;;a;owi;a;em;u;u;e;;om;;mi;ach
8;m1;;a;owi;a;em;u;u;e;i;om;i;ami;ach
9;m1;pl1;;a;owi;a;em;u;u;e;i;om;i;mi;ach
10;m1;pl1;;a;owi;a;em;u;u;e;ów;om;ów;ami;ach
11;m1;;a;owi;a;em;u;u;e;y;om;y;ami;ach
12;m1;;a;owi;a;em;u;u;*i;ów;om;ów;ami;ach
13;m1;;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
14;m1;;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
15;m1;;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
16;m1;;a;owi;a;em;u;u;y;ów;om;ów;ami;ach
17;m1;;a;owi;a;em;u;u;*y;ów;om;ów;ami;ach
18;m1;;a;u;a;em;*e;*e;*a;*i;*om;*i;*mi;*ach
19;m1;;a;u;a;em;*e;*e;*i;ów;om;ów;ami;ach
20;m1;;a;u;a;em;u;*e;*a;*y;*om;*y;*mi;*ach
21;m1;;a;u;a;em;u;*e;owie;ów;om;ów;ami;ach
22;m1;;a;u;a;em;u;*e;owie;ów;om;ów;ami;ach
23;m1;;a;u;a;em;u;*e;owie;ów;om;ów;ami;ach
24;m1;;a;u;a;em;u;*e;y;ów;om;ów;ami;ach
25;m1;;i;i;i;ą;i;i;e;ów;om;ów;ami;ach
26;m1;;i;i;i;ą;i;i;owie;ów;om;ów;ami;ach
27;m1;a;ego;emu;ego;ą;im;o;owie;ów;om;ów;ami;ach
28;m1;a;i;*e;ę;ą;*e;o;owie;ów;om;ów;ami;ach
29;m1;a;i;*e;ę;ą;*e;o;*y;;om;;ami;ach
30;m1;a;i;*e;ę;ą;*e;o;*y;ów;om;ów;ami;ach
31;m1;a;i;i;ę;ą;i;o;e;i;om;i;ami;ach
32;m1;a;i;i;ę;ą;i;o;e;ów;om;ów;ami;ach
33;m1;a;i;i;ę;ą;i;o;owie;ów;om;ów;ami;ach
34;m1;a;i;i;ę;ą;i;u;owie;ów;om;ów;ami;ach
35;m1;a;y;*e;ę;ą;*e;o;*i;;om;;ami;ach
36;m1;a;y;*e;ę;ą;*e;o;*i;ów;om;ów;ami;ach
37;m1;a;y;*e;ę;ą;*e;o;owie;ów;om;ów;ami;ach
38;m1;a;y;*e;ę;ą;*e;o;*y;ów;om;ów;ami;ach
39;m1;a;y;i;ę;ą;i;o;owie;ów;om;ów;ami;ach
40;m1;a;y;y;ę;ą;y;o;e;ów;om;ów;ami;ach
41;m1;a;y;y;ę;ą;y;o;owie;ów;om;ów;ami;ach
42;m1;a;y;y;ę;ą;y;o;y;ów;om;ów;ami;ach
43;m1;e;ego;emu;ego;em;em;e;owie;ów;om;ów;ami;ach
44;m1;ę;a;u;a;em;u;ę;*a;;om;;ami;ach
45;m1;;ego;emu;ego;im;im;;;ch;m;ch;mi;ch
46;m1;i;ego;emu;ego;im;im;i;owie;ich;im;ich;imi;ich
47;m1;;ego;emu;ego;m;m;;*y;ch;m;ch;mi;ch
48;m1;o;a;owi;a;em;*e;o;*i;ów;om;ów;ami;ach
49;m1;o;a;owi;a;em;*e;o;owie;ów;om;ów;ami;ach
50;m1;o;a;owi;a;em;*e;o;owie;ów;om;ów;ami;ach
51;m1;o;a;owi;a;em;u;o;e;ów;om;ów;ami;ach
52;m1;o;a;owi;a;em;u;o;owie;ów;om;ów;ami;ach
53;m1;o;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
54;m1;o;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
55;m1;o;a;owi;a;em;u;u;owie;ów;om;ów;ami;ach
